# /home/minyez/Documents/SelfDevelopment/codes/mushroom/scripts/m_gap_degw -e CuAlO2.eqpeV_GW0 -o degw-gw0.dat
#unit:eV nbands:34 nkpts:32
#KS degw 
#Band 7
-3.722000 -2.069000
-3.100000 -2.076000
#Band 15
-2.602000 -1.987000
-2.729000 -2.003000
-2.516000 -2.093000
-2.574000 -2.231000
-2.749000 -1.758000
-2.230000 -1.765000
-2.172000 -2.275000
-2.184000 -2.262000
-2.287000 -1.734000
-2.501000 -2.116000
-2.223000 -2.280000
-1.748000 -2.370000
-2.580000 -2.219000
-2.706000 -2.009000
-2.778000 -2.015000
-2.522000 -2.098000
-2.574000 -2.227000
-2.517000 -2.085000
-2.797000 -1.745000
-2.207000 -1.771000
-2.192000 -2.289000
-2.207000 -2.268000
-2.501000 -2.124000
-2.218000 -2.288000
-1.746000 -2.371000
-2.578000 -2.222000
-2.940000 -2.048000
-2.997000 -2.051000
-2.517000 -2.107000
-2.966000 -1.648000
-2.221000 -1.755000
-3.100000 -2.077000
#Band 16
-1.730000 -2.468000
-1.806000 -2.419000
-1.374000 -2.384000
-1.473000 -2.387000
-1.803000 -2.415000
-1.934000 -2.403000
-1.452000 -2.376000
-1.413000 -2.391000
-1.928000 -2.403000
-1.547000 -2.400000
-1.598000 -2.395000
-1.690000 -2.378000
-1.703000 -2.385000
-1.730000 -2.468000
-1.805000 -2.422000
-1.309000 -2.364000
-1.471000 -2.388000
-1.469000 -2.370000
-1.802000 -2.416000
-1.947000 -2.406000
-1.428000 -2.374000
-1.521000 -2.374000
-1.458000 -2.408000
-1.504000 -2.394000
-1.703000 -2.377000
-1.594000 -2.382000
-1.730000 -2.468000
-1.806000 -2.423000
-1.325000 -2.382000
-1.806000 -2.422000
-1.954000 -2.410000
-1.730000 -2.468000
#Band 17
-1.730000 -2.468000
-1.544000 -2.473000
-1.247000 -1.924000
-1.188000 -2.470000
-1.545000 -2.475000
-1.355000 -2.436000
-1.369000 -2.389000
-1.408000 -2.342000
-1.318000 -2.425000
-1.168000 -2.495000
-1.361000 -2.369000
-1.470000 -2.414000
-0.967000 -2.507000
-1.730000 -2.468000
-1.546000 -2.474000
-1.168000 -2.493000
-1.105000 -2.452000
-1.267000 -1.956000
-1.547000 -2.476000
-1.296000 -2.425000
-1.348000 -2.395000
-1.377000 -2.357000
-1.168000 -2.495000
-1.353000 -2.377000
-1.409000 -2.414000
-0.967000 -2.506000
-1.730000 -2.468000
-1.548000 -2.475000
-1.168000 -2.494000
-1.548000 -2.475000
-1.215000 -2.416000
-1.730000 -2.468000
#Band 18
-0.993000 -2.460000
-1.130000 -2.443000
-1.166000 -2.494000
-0.967000 -2.507000
-1.190000 -2.454000
-1.093000 -2.333000
-1.212000 -2.443000
-1.249000 -2.449000
-1.131000 -2.416000
-1.145000 -1.915000
-1.017000 -2.427000
-1.238000 -2.418000
-0.887000 -2.418000
-0.933000 -2.440000
-1.038000 -2.431000
-1.119000 -1.922000
-0.967000 -2.507000
-1.168000 -2.495000
-1.147000 -2.445000
-1.060000 -2.313000
-1.130000 -2.436000
-1.134000 -2.436000
-1.060000 -1.876000
-1.034000 -2.427000
-1.289000 -2.414000
-0.955000 -2.427000
-0.825000 -2.410000
-0.981000 -2.426000
-1.051000 -1.892000
-1.031000 -2.430000
-1.051000 -2.312000
-0.776000 -2.400000
#Band 19
-0.993000 -2.460000
-1.045000 -2.464000
-1.142000 -2.469000
-0.083000 -1.869000
-0.942000 -2.435000
-1.041000 -2.440000
-0.236000 -1.913000
-0.358000 -1.934000
-1.112000 -2.393000
-0.896000 -2.420000
-0.207000 -1.911000
-0.032000 -1.784000
0.000000 -1.884000
-0.933000 -2.440000
-1.014000 -2.453000
-1.092000 -2.456000
-0.095000 -1.854000
-1.033000 -2.444000
-0.825000 -2.410000
-0.951000 -2.426000
-0.135000 -1.893000
-0.338000 -1.933000
-0.858000 -2.414000
-0.122000 -1.893000
-0.030000 -1.786000
-0.046000 -1.866000
-0.825000 -2.410000
-0.888000 -2.420000
-0.948000 -2.427000
-0.801000 -2.404000
-0.938000 -2.418000
-0.776000 -2.400000
#Band 20
1.933000 -0.235000
2.388000 -0.263000
2.795000 -0.248000
2.604000 -0.035000
2.502000 -0.266000
2.927000 -0.278000
3.190000 -0.165000
3.444000 -0.185000
2.873000 -0.256000
3.115000 -0.260000
3.508000 -0.179000
5.329000 -0.148000
2.951000 -0.056000
2.246000 -0.234000
2.725000 -0.297000
2.660000 -0.275000
2.681000 -0.048000
3.014000 -0.236000
2.974000 -0.308000
3.018000 -0.320000
3.094000 -0.152000
3.601000 -0.189000
2.968000 -0.288000
3.256000 -0.162000
5.334000 -0.149000
2.854000 -0.057000
2.982000 -0.232000
3.203000 -0.337000
2.734000 -0.290000
3.354000 -0.356000
3.057000 -0.337000
3.591000 -0.354000
#Band 21
6.160000 0.442000
7.112000 0.459000
7.619000 0.521000
6.062000 0.124000
7.005000 0.429000
8.117000 0.582000
7.242000 0.105000
7.076000 0.145000
8.643000 0.457000
7.540000 0.469000
7.362000 0.095000
5.575000 -0.152000
6.829000 0.134000
5.906000 0.355000
6.631000 0.430000
7.734000 0.621000
6.253000 0.128000
7.561000 0.442000
6.367000 0.414000
7.776000 0.570000
7.481000 0.042000
7.139000 0.141000
7.649000 0.552000
7.533000 0.041000
5.569000 -0.151000
6.644000 0.129000
5.179000 0.286000
6.078000 0.425000
7.770000 0.627000
5.913000 0.436000
7.660000 0.569000
4.552000 0.392000
#Band 22
7.252000 0.558000
8.016000 0.650000
8.361000 0.432000
7.798000 0.683000
7.942000 0.666000
9.272000 0.685000
8.901000 0.762000
9.024000 0.766000
8.650000 0.787000
8.376000 0.553000
9.463000 0.746000
8.764000 0.588000
8.571000 0.717000
7.212000 0.604000
8.318000 0.673000
8.568000 0.316000
7.834000 0.676000
8.249000 0.532000
8.210000 0.670000
9.818000 0.710000
8.910000 0.770000
9.183000 0.743000
8.683000 0.502000
9.199000 0.763000
8.764000 0.588000
8.021000 0.669000
7.265000 0.622000
8.472000 0.674000
8.794000 0.338000
8.430000 0.667000
10.130000 0.754000
7.321000 0.613000
#Band 23
11.803000 0.648000
11.692000 0.632000
10.554000 0.570000
10.980000 0.700000
11.745000 0.726000
10.648000 0.311000
10.679000 0.529000
10.282000 0.473000
10.715000 0.285000
10.113000 0.445000
9.683000 0.682000
10.044000 1.010000
8.617000 0.594000
11.973000 0.669000
11.619000 0.734000
10.642000 0.694000
10.472000 0.690000
10.288000 0.491000
11.633000 0.806000
10.476000 0.469000
10.787000 0.736000
10.051000 0.557000
9.939000 0.438000
10.026000 0.722000
10.044000 1.011000
9.513000 0.664000
12.204000 0.717000
11.535000 0.786000
10.081000 0.565000
11.524000 0.792000
10.229000 0.461000
12.274000 0.745000
#Band 24
13.826000 1.238000
12.341000 0.929000
11.206000 0.662000
11.550000 0.915000
12.351000 0.829000
11.097000 0.738000
11.344000 0.647000
10.881000 0.604000
11.079000 0.737000
11.492000 0.749000
10.325000 0.557000
11.513000 0.761000
11.295000 0.547000
13.835000 1.229000
12.352000 0.726000
11.093000 0.522000
11.602000 0.875000
11.368000 0.716000
12.457000 0.677000
11.187000 0.587000
10.937000 0.689000
10.387000 0.589000
11.569000 0.786000
10.623000 0.637000
11.536000 0.784000
11.430000 0.664000
13.857000 1.213000
12.542000 0.677000
11.463000 0.674000
12.593000 0.698000
11.542000 0.553000
13.870000 1.206000
#Band 25
13.826000 1.238000
13.408000 0.562000
12.014000 0.850000
12.396000 0.594000
13.190000 0.612000
11.972000 0.568000
11.521000 0.745000
11.789000 0.841000
12.081000 0.617000
11.954000 0.709000
11.908000 0.560000
12.031000 0.741000
12.238000 0.536000
13.835000 1.229000
13.554000 0.891000
11.861000 0.887000
12.281000 0.523000
11.933000 0.784000
13.260000 0.772000
12.227000 0.656000
11.677000 0.722000
11.868000 0.746000
12.229000 0.499000
11.918000 0.531000
11.814000 0.625000
12.227000 0.525000
13.857000 1.213000
13.318000 0.899000
11.862000 0.756000
13.294000 0.855000
12.048000 0.769000
13.870000 1.206000
#Band 26
15.280000 1.041000
14.147000 0.942000
13.815000 0.777000
13.901000 0.586000
14.409000 1.296000
12.808000 0.807000
11.943000 0.752000
12.302000 0.713000
12.545000 0.748000
13.564000 0.799000
12.629000 0.694000
12.108000 0.566000
13.220000 0.717000
15.260000 1.057000
14.112000 0.706000
13.453000 0.773000
13.687000 0.650000
14.262000 0.826000
14.441000 1.304000
12.756000 0.774000
11.883000 0.490000
12.495000 0.684000
12.687000 0.952000
12.393000 0.584000
12.620000 0.482000
13.358000 0.703000
15.208000 1.084000
14.501000 1.272000
13.064000 0.816000
14.491000 1.297000
12.975000 0.683000
15.177000 1.093000
#Band 27
15.280000 1.041000
14.415000 1.275000
14.552000 0.706000
14.510000 0.643000
14.940000 0.972000
14.152000 0.812000
13.743000 0.858000
14.161000 0.868000
14.861000 0.963000
14.025000 0.843000
12.906000 0.901000
12.999000 0.698000
13.331000 1.048000
15.260000 1.057000
14.455000 1.257000
14.525000 0.639000
14.026000 0.765000
14.318000 0.814000
15.683000 0.881000
13.489000 0.702000
13.338000 0.811000
13.679000 0.812000
13.991000 0.820000
12.759000 0.935000
12.632000 0.873000
13.508000 0.960000
15.208000 1.084000
14.715000 0.704000
14.196000 0.763000
15.288000 0.705000
13.045000 0.647000
15.177000 1.093000
#Band 28
15.288000 0.954000
15.816000 0.924000
15.431000 1.269000
15.484000 1.366000
16.164000 0.994000
15.684000 1.230000
15.381000 0.895000
15.289000 0.873000
15.421000 0.975000
15.941000 1.139000
15.757000 1.220000
15.438000 0.894000
16.196000 1.283000
15.423000 0.966000
15.567000 0.926000
15.344000 1.342000
15.704000 1.317000
15.773000 1.150000
16.143000 1.066000
15.321000 1.231000
14.903000 1.052000
15.514000 1.124000
15.846000 1.169000
15.174000 1.127000
15.637000 0.926000
16.049000 1.287000
15.732000 0.981000
15.479000 0.927000
15.597000 1.228000
15.671000 0.947000
15.128000 1.246000
15.892000 0.980000
#Band 29
18.892000 0.593000
17.291000 0.878000
17.164000 0.971000
15.726000 0.795000
17.163000 0.831000
16.394000 1.062000
16.982000 1.017000
16.886000 1.110000
16.193000 1.240000
17.177000 1.002000
16.806000 0.888000
16.897000 1.126000
17.330000 0.925000
18.937000 0.595000
17.284000 0.942000
17.149000 0.901000
16.417000 0.850000
16.410000 0.905000
16.834000 0.978000
17.026000 1.120000
17.788000 1.084000
17.060000 1.012000
17.354000 0.964000
17.447000 1.024000
16.618000 1.032000
17.109000 0.907000
19.332000 0.625000
17.392000 1.070000
17.164000 0.923000
17.241000 1.158000
17.263000 1.145000
19.302000 1.165000
#Band 30
19.854000 1.122000
18.076000 0.971000
17.565000 0.772000
17.102000 0.907000
17.206000 0.848000
18.315000 0.992000
18.128000 1.083000
17.885000 0.962000
18.086000 0.908000
17.953000 0.809000
19.060000 1.052000
18.380000 0.894000
19.728000 0.656000
19.588000 1.100000
18.630000 1.048000
18.571000 0.834000
17.423000 0.821000
17.608000 0.804000
16.895000 0.747000
18.730000 1.085000
18.794000 1.081000
18.404000 0.972000
19.290000 1.190000
19.094000 1.051000
18.806000 1.062000
18.537000 0.787000
19.351000 1.128000
18.235000 1.013000
19.302000 0.750000
17.507000 0.909000
18.960000 1.124000
19.302000 1.165000
#Band 31
19.854000 1.122000
19.712000 0.994000
19.830000 1.271000
19.745000 0.703000
19.146000 1.011000
19.785000 1.034000
20.332000 1.077000
19.979000 1.045000
19.966000 1.103000
19.046000 1.180000
20.232000 1.080000
19.832000 1.287000
20.289000 1.060000
19.588000 1.100000
19.971000 0.869000
20.196000 1.337000
20.254000 0.767000
19.246000 1.202000
19.202000 0.937000
19.852000 0.984000
20.073000 0.929000
19.493000 0.992000
19.456000 0.885000
20.963000 1.108000
19.256000 1.019000
20.928000 0.861000
19.351000 1.128000
19.915000 0.765000
19.793000 1.245000
19.701000 0.806000
20.026000 0.971000
20.163000 0.664000
#Band 32
21.118000 1.081000
21.586000 0.919000
20.329000 0.729000
22.755000 1.396000
20.861000 0.847000
21.474000 1.139000
21.039000 1.022000
21.030000 1.087000
21.001000 1.088000
20.819000 0.812000
22.776000 1.217000
20.041000 1.041000
21.309000 1.080000
21.634000 1.122000
21.560000 1.275000
20.546000 0.794000
22.025000 1.119000
20.869000 0.790000
20.565000 0.868000
22.171000 1.107000
21.550000 1.131000
21.826000 1.190000
20.170000 0.877000
22.046000 1.155000
20.335000 1.203000
21.495000 1.089000
21.621000 0.858000
21.412000 1.240000
21.333000 1.128000
20.647000 1.031000
22.525000 0.959000
20.602000 0.791000
#Band 33
21.118000 1.081000
21.956000 1.387000
22.529000 1.135000
22.979000 0.840000
22.945000 1.566000
23.030000 0.948000
22.885000 0.967000
23.248000 0.946000
22.910000 0.899000
24.478000 1.264000
23.489000 0.978000
24.183000 1.245000
23.788000 1.074000
21.634000 1.122000
22.362000 1.365000
22.350000 1.026000
23.981000 1.122000
23.545000 1.350000
23.661000 1.716000
22.980000 1.229000
23.567000 1.018000
23.611000 0.938000
23.995000 1.189000
23.448000 0.956000
24.104000 1.229000
23.218000 1.116000
22.347000 0.891000
22.316000 1.348000
22.347000 1.018000
23.343000 1.567000
22.772000 1.370000
22.349000 0.509000
#Band 34
21.409000 0.855000
23.345000 1.353000
24.341000 1.361000
25.388000 1.258000
24.311000 1.304000
24.195000 1.313000
24.967000 1.317000
25.422000 1.343000
24.847000 1.477000
24.722000 1.661000
24.029000 1.164000
26.025000 1.442000
25.489000 1.527000
21.688000 0.873000
23.010000 1.015000
23.253000 1.252000
24.034000 1.123000
24.350000 1.270000
24.511000 1.037000
23.898000 1.107000
24.469000 1.275000
